༄༅།། བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།། སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ།།	The Way of the Bodhisattva The Excellence of Bodhichitta Homage to all Buddhas and Bodhisattvas.
ཕྱོགས་རྣམས་ཀུན་ན་བཞུགས་པ་ཡི།། རྫོགས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས།། ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ།། ཐལ་མོ་སྦྱར་ཏེ་གསོལ་བ་ནི།། ཐོག་མ་མེད་ལྡན་འཁོར་བ་ནས།། ཚེ་རབས་འདི་འམ་གཞན་དག་ཏུ།། བགྱིད་དུ་སྩལ་བ་ཉིད་དང་ནི།།	To perfect Buddhas and to Bodhisattvas, In all directions where they may reside, To them who are the sovereigns of great mercy, I press my palms together, praying thus: “In this and all my other lives, While turning in the round without beginning, Blindly I have brought forth evil, And incited others to commit the same.
གཏི་མུག་འཁྲུལ་པས་བདག་ནོན་ཏེ།། རྗེས་སུ་ཡི་རང་གང་བགྱིས་པ།། ནོངས་པ་དེ་ནི་མཐོང་བགྱིས་ནས།། བསམ་པ་ཐག་པས་མགོན་ལ་བཤགས།།	Deceived and overmastered by my ignorance, I have taken pleasure in such sin, And seeing now the blame of it, O great protectors, I confess it earnestly!
བདག་གིས་དཀོན་མཆོག་གསུམ་དང་ནི།། ཕ་མའམ་བླ་མ་གཞན་དག་ལ།། ཉོན་མོངས་སྒོ་ནས་ལུས་ངག་དང་།། ཡིད་ཀྱིས་གནོད་བགྱིས་གང་ལགས་པ།། ཉེས་པ་དུ་མས་སྐྱོན་ཆགས་པའི།།	Whatever I have done against the Triple Gem, Against my parents, teachers, and the rest, Through force of my defilements, In my body, speech, and mind, “All the evil I, a sinner, have committed, All the wicked deeds that cling to me, The frightful things that I contrived I openly declare to you, the teachers of the world.
བདག་ནི་སྡིག་པ་མ་བྱང་བར།། སྔོན་དུ་འགུམ་པར་འགྱུར་དུ་མཆི།།	It may be that my death will come to me Before my evil has been cleansed.
ཇི་ལྟར་འདི་ལས་ངེས་ཐར་བར།།	How then can I be freed from it?
མྱུར་བའི་ཚུལ་གྱིས་བསྐྱབ་ཏུ་གསོལ།།	I pray you, quickly grant me your protection!”
ཡིད་བརྟན་མི་རུང་འཆི་བདག་འདི།།	We cannot trust the wanton Lord of Death.
བྱས་དང་མ་བྱས་མི་སྡོད་པས།།	The task complete or still to do, he will not wait.
ན་དང་མི་ན་ཀུན་གྱིས་ཀྱང་།། གློ་བུར་ཚེ་ལ་ཡིད་མི་བརྟན།།	In health or sickness, therefore, none of us can trust Our fleeting, momentary lives.
ཐམས་ཅད་བོར་ཏེ་ཆ་དགོས་པར།།	And we must pass away, forsaking all.
བདག་གིས་དེ་ལྟར་མ་ཤེས་པས།། མཛའ་དང་མི་མཛའི་དོན་གྱི་ཕྱིར།། སྡིག་པ་རྣམ་པ་སྣ་ཚོགས་བྱས།།	But I, devoid of understanding, Have, for sake of friend and foe alike, Provoked and brought about so many wrongs.
མི་མཛའ་རྣམས་ཀྱང་མེད་འགྱུར་ཞིང་།། མཛའ་བ་རྣམས་ཀྱང་མེད་པར་འགྱུར།། བདག་ཀྱང་མེད་པར་འགྱུར་བ་སྟེ།། དེ་བཞིན་ཐམས་ཅད་མེད་པར་འགྱུར།།	But all my foes will cease to be, And all my friends will cease to be, And I will also cease to be, And likewise everything will cease to be.
རྨི་ལམ་ཉམས་སུ་མྱོང་བ་བཞིན།། དངོས་པོ་གང་དང་གང་སྤྱད་པ།།	All that I possess and use Is like the fleeting vision of a dream.
དེ་དེ་དྲན་པའི་ཡུལ་དུ་འགྱུར།། འདས་པ་ཐམས་ཅད་མཐོང་མི་འགྱུར།།	It fades into the realms of memory, And fading, will be seen no more.
རེ་ཞིག་གསོན་ཚེ་འདི་ཉིད་ལའང་།། མཛའ་དང་མི་མཛའ་དུ་མ་འདས།། དེ་དག་དོན་དུ་བྱས་པའི་སྡིག། མི་བཟད་གང་ཡིན་མདུན་ན་གནས།།	And even in the brief course of this present life, So many friends and foes have passed away, Because of whom, the evils I have done Still lie, unbearable, before me.
དེ་ལྟར་བདག་ནི་གློ་བུར་ཞེས།། བདག་གིས་རྟོགས་པར་མ་གྱུར་པས།།	The thought came never to my mind That I too am a brief and passing thing.
གཏི་མུག་ཆགས་དང་ཞེ་སྡང་གིས།། སྡིག་པ་རྣམ་པ་དུ་མ་བྱས།།	And so, through hatred, lust, and ignorance, I have committed many sins.
ཉིན་མཚན་སྡོད་པ་ཡོང་མེད་པར།། ཚེ་འདི་རྟག་ཏུ་གོད་འགྱུར་ཞིང་།། སྣོན་པ་གུད་ནས་འོང་མེད་ན།།	Never halting night or day, My life drains constantly away, And from no other source does increase come.
བདག་ལྟ་འཆི་བར་ཅིས་མི་འགྱུར།།	How can there not be death for such as me?
བདག་ནི་མལ་ན་འདུག་བཞིན་དུ།། གཉེན་བཤེས་ཀུན་གྱིས་མཐའ་བསྐོར་ཀྱང་།།	There I’ll be, prostrate upon my bed, And all around, my family and friends.
སྲོག་འཆད་པ་ཡི་ཚོར་བ་དག། བདག་ཉིད་གཅིག་པུས་མྱོང་བར་འགྱུར།།	But I alone shall be the one to feel The cutting of the thread of life.
གཤིན་རྗེའི་ཕོ་ཉས་ཟིན་པ་ལ།། གཉེན་གྱིས་ཅི་ཕན་བཤེས་ཅི་ཕན།།	And when the heralds of the Deadly King have gripped me, What help to me will be my friends and kin?
དེ་ཚེ་བསོད་ནམས་གཅིག་བསྐྱབས་ན།། དེ་ཡང་བདག་གིས་མ་བསྟེན་ཏོ།།	For then life’s virtue is my one defense, And this, alas, is what I shrugged away.
མགོན་པོ་བག་མེད་བདག་གིས་ནི།།	O protectors!
འཇིགས་པ་འདི་འདྲ་མ་འཚལ་ནས།། མི་རྟག་ཚེ་འདིའི་ཆེད་དག་ཏུ།། སྡིག་པ་མང་པོ་ཉེ་བར་བསྒྲུབས།།	I, so little heeding, Hardly guessed at horror such as this— And all for this brief, transient existence, I have done so many evil things.
སྐྱེ་བོ་ཡན་ལག་གཅོད་པའི་སར།། དེ་རིང་ཁྲིད་པའང་བྲེད་འགྱུར་ཏེ།། ཁ་བསྐམས་མིག་རྩ་ངན་ལ་སོགས།། སྔ་ལས་གཞན་དུ་འགྱུར་སྣང་ན།།	The day they take him to the scaffold, Where they will tear off his limbs, A man is changed, transfigured by his fear: His mouth is dry, his eyes start from his brow.
གཤིན་རྗེའི་ཕོ་ཉ་འཇིགས་འཇིགས་ལྟའི།། ཤ་ཚུགས་ཅན་གྱིས་བཟུང་གྱུར་ཅིང་།། འཇིགས་ཆེན་ནད་ཀྱིས་ཐེབས་གྱུར་པ།། རབ་ཏུ་ཉམ་ཐག་སྨོས་ཅི་དགོས།།	No need to say how stricken I shall be When overcome and sick with dreadful fear, I’m seized by forms so horrible to see, The frightful servants of the Lord of Death.
སུ་ཞིག་འཇིགས་ཆེན་འདི་ལས་བདག། ལེགས་པར་སྐྱོབ་པར་བྱེད་འགྱུར་ཞེས།།	Who can give me safe protection From this horror, from this frightful dread?
བྲེད་ཤ་ཐོན་པའི་མིག་བགྲད་ནས།། ཕྱོགས་བཞིར་སྐྱབས་དག་འཚོལ་བར་བྱེད།།	And then I’ll search the four directions, Seeking help, with panic-stricken eyes.
ཕྱོགས་བཞིར་སྐྱབས་མེད་མཐོང་ནས་ནི།།	But in those four directions no protection shall I find.
དེ་ནས་ཀུན་ཏུ་ཡི་མུག་འགྱུར།།	And I shall sink into despairing woe.
གནས་དེར་སྐྱབས་ཡོད་མ་ཡིན་ན།། དེ་ཚེ་བདག་གིས་ཇི་ལྟར་བྱ།།	No refuge will there be for me; At such a time, what shall I do?
དེ་བས་རྒྱལ་བ་འགྲོ་བའི་མགོན།། འགྲོ་བ་སྐྱོབ་པའི་དོན་བརྩོན་པ།། སྟོབས་ཆེན་འཇིགས་པ་ཀུན་སེལ་ལ།། དེ་རིང་ཉིད་ནས་སྐྱབས་སུ་མཆི།།	Thus, from this day forward I take refuge In the Buddhas, guardians of beings, Who labor to protect all wanderers, Those mighty ones who scatter every fear.
དེ་ཡིས་ཐུགས་སུ་ཆུད་པའི་ཆོས།། འཁོར་བའི་འཇིགས་པ་སེལ་བ་དང་།། བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ལ་ཡང་།། དེ་བཞིན་ཡང་དག་སྐྱབས་སུ་མཆི།།	And in the Dharma they have realized in their hearts, Which drives away the terrors of saṃsāra, And in all the host of Bodhisattvas Likewise I will perfectly take refuge.
བདག་ནི་འཇིགས་པས་རྣམ་སྐྲག་ནས།། ཀུན་ཏུ་བཟང་ལ་བདག་ཉིད་དབུལ།། འཇམ་པའི་དབྱངས་ལའང་བདག་ཉིད་ཀྱིས།། བདག་གི་ལུས་འདི་དབུལ་བར་བགྱི།།	Gripped by dread, beside myself with anguish, To Samantabhadra I will give myself; My body I myself will give To Mañjughoṣha, gentle and melodious.
