Line	Tibetan	Sanskrit
58	གསེར་གྱི་པདྨ་ཚར་དུ་དངར་བ་ཡི། །རིན་ཆེན་སྒྲོན་མ་རྣམས་ཀྱང་དབུལ་བར་བགྱི། །ས་གཞི་བསྟར་བ་སྤོས་ཀྱིས་བྱུགས་པ་དེར། །མེ་ཏོག་ཡིད་འོང་སིལ་མ་དགྲམ་པར་བྱ། །	रत्नप्रदीपांश्च निवेदयामि सुवर्णपद्मेषु निविष्टपङ्क्तीन्। गन्धोपलिप्तेषु च कुट्टिमेषु किरामि पुष्पप्रकरान् मनोज्ञान्॥१७॥
59	གཞལ་མེད་ཕོ་བྲང་བསྟོད་དབྱངས་ཡིད་འོང་ལྡན། །མུ་ཏིག་རིན་ཆེན་རྒྱན་འཕྱང་མཛེས་འབར་བ། །དཔག་ཡས་ནམ་མཁའི་རྒྱན་གྱུར་དེ་དག་ཀྱང་། །ཐུགས་རྗེའི་རང་བཞིན་ཅན་ལ་དབུལ་བར་བགྱི། །	प्रलम्बमुक्तामणिहारशोभा-नाभास्वरान् दिङ्मुखमण्डनांस्तान्। विमानमेघान् स्तुतिगीतरम्यान् मैत्रीमयेभ्योऽपि निवेदयामि॥ १८॥
60	རིན་ཆེན་གདུགས་མཛེས་གསེར་གྱི་ཡུ་བ་ཅན། །ཁོར་ཡུག་རྒྱན་གྱི་རྣམ་པ་ཡིད་འོང་ལྡན། །དབྱིབས་ལེགས་བལྟ་ན་སྡུག་པ་བསྒྲེང་བ་ཡང་། །རྟག་ཏུ་ཐུབ་དབང་རྣམས་ལ་དབུལ་བར་བགྱི། །	सुवर्णदण्डैः कमनीयरूपैः संसक्तमुक्तानि समुच्छ्रितानि। प्रधारयाम्येष महामुनीनां रत्नातपत्राण्यतिशोभनानि॥१९॥
61	དེ་ལས་གཞན་ཡང་མཆོད་པའི་ཚོགས། །རོལ་མོ་དབྱངས་སྙན་ཡིད་འོང་ལྡན། །སེམས་ཅན་སྔག་བསྔལ་ཚིམ་བྱེད་པའི། །སྤྲིན་རྣམས་སོ་སོར་གནས་གྱུར་ཅིག །	अतः परं प्रतिष्ठन्तां पूजामेघा मनोरमाः। तूर्यसंगीतिमेघाश्च सर्वसत्त्वप्रहर्षणाः॥२०॥
62	དམ་ཆོས་དཀོན་མཆོག་ཐམས་ཅད་དང་། །མཆོད་རྟེན་རྣམས་དང་སྐུ་གཟུགས་ལ། །རིན་ཆེན་མེ་ཏོག་ལ་སོགས་ཆར། །རྒྱུན་མི་འཆད་པར་འབབ་པར་ཤོག །	सर्वसद्धर्मरत्नेषु चैत्येषु प्रतिमासु च। पुष्परत्नादिवर्षाश्च प्रवर्तन्तां निरन्तरम्॥२१॥
63	ཇི་ལྟར་འཇམ་དབྱངས་ལ་སོགས་པས། །རྒྱལ་བ་རྣམས་ལ་མཆོད་མཛད་པ། །དེ་བཞིན་བདག་གིས་དེ་བཞིན་གཤེགས། །མགོན་པོ་སྲས་དང་བཅས་རྣམས་མཆོད། །	मञ्जुघोषप्रभृतयः पूजयन्ति यथा जिनान्। तथा तथागतान्नाथान् सपुत्रान् पूजयाम्यहम्॥२२॥
64	ཡོན་ཏན་རྒྱ་མཚོ་རྣམས་ལ་བདག །བསྟོད་དབྱངས་ཡན་ལག་རྒྱ་མཚོས་བསྟོད། །བསྟོད་དབྱངས་སྙན་སྤྲིན་དེ་དག་ལ། །ངེས་པར་ཀུན་དུ་འབྱུང་གྱུར་ཅིག །	स्वराङ्गसागरैः स्तोत्रैः स्तौमि चाहं गुणोदधीन्। स्तुतिसंगीतिमेघाश्च संभवन्त्वेष्वनन्यथा॥२३॥
65	དུས་གསུམ་གཤེགས་པའི་སངས་རྒྱས་ཀུན། །ཆོས་དང་ཚོགས་ཀྱི་མཆོག་བཅས་ལ། །ཞིང་རྡུལ་ཀུན་གྱི་གྲངས་སྙེད་ཀྱི། །ལུས་བཏུད་པ་ཡིས་བདག་ཕྱག་འཚལ། །	सर्वक्षेत्राणुसंख्यैश्च प्रणामैः प्रणमाम्यहम्। सर्वत्र्यध्वगतान् बुद्धान् सहधर्मगणोत्तमान्॥२४॥
66	བྱང་ཆུབ་སེམས་ཀྱི་གཞི་རྣམས་དང་། །མཆོད་རྟེན་རྣམས་ལ་བདག་ཕྱག་འཚལ། །མཁན་པོ་དེ་བཞིན་སློབ་དཔོན་དང་། །བརྟུལ་ཞུགས་མཆོག་ལ་ཕྱག་འཚལ་ལོ། །	सर्वचैत्यानि वन्देऽहं बोधिसत्त्वाश्रयांस्तथा। नमः करोम्युपाध्यायानभिवन्द्यान् यतींस्तथा॥२५॥
67	བྱང་ཆུབ་སྙིང་པོར་མཆིས་ཀྱི་བར། །སངས་རྒྱས་རྣམས་ལ་སྐྱབས་སུ་མཆི། །ཆོས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཡི། །ཚོགས་ལའང་དེ་བཞིན་སྐྱབས་སུ་མཆི། །	बुद्धं गच्छामि शरणं यावदा बोधिमण्डतः। धर्मं गच्छामि शरणं बोधिसत्त्वगणं तथा॥२६॥
68	ཕྱོགས་རྣམས་ཀུན་ན་བཞུགས་པ་ཡི། །རྫོགས་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས། །ཐུགས་རྗེ་ཆེན་པོ་མངའ་རྣམས་ལ། །ཐལ་མོ་སྦྱར་ཏེ་གསོལ་བ་ནི། །	विज्ञापयामि संबुद्धान् सर्वदिक्षु व्यवस्थितान्। महाकारुणिकांश्चापि बोधिसत्त्वान् कृताञ्जलिः॥२७॥
69	ཐོག་མ་མེད་ལྡན་འཁོར་བ་ནས། །ཚེ་རབས་འདི་འམ་གཞན་དག་ཏུ། །བདག་གིས་མ་འཚལ་སྡིག་བགྱིས་པའམ། །བགྱིད་དུ་སྩལ་བ་ཉིད་དང་ནི། །	अनादिमति संसारे जन्मन्यत्रैव वा पुनः। यन्मया पशुना पापं कृतं कारितमेव वा॥२८॥
70	གཏི་མུག་འཁྲུལ་པས་བདག་ནོན་ཏེ། །རྗེས་སུ་ཡི་རང་གང་བགྱིས་པ། །ནོངས་པ་དེ་ནི་མཐོང་བགྱིས་ནས། །བསམ་པ་ཐག་པས་མགོན་ལ་བཤགས། །	यच्चानुमोदितं किंचिदात्मघाताय मोहतः। तदत्ययं देशयामि पश्चात्तापेन तापितः॥२९॥
71	བདག་གིས་དཀོན་མཆོག་གསུམ་དང་ནི། །ཕ་མའམ་བླ་མ་གཞན་དག་ལ། །ཉོན་མོངས་སྒོ་ནས་ལུས་ངག་དང་། །ཡིད་ཀྱིས་གནོད་བགྱིས་གང་ལགས་དང་། །	रत्नत्रयेऽपकारो यो मातपितृषु वा मया। गुरुष्वन्येषु वा क्षेपात् कायवाग्बुद्धिभिः कृतः॥३०॥
