Root,Commentary
ལུས་འདི་བདག་གིར་གཟུང་བྱས་ནས། །ཡིད་ཁྱོད་ཅི་ཕྱིར་སྲུང་བར་བྱེད། །ཁྱོད་དང་འདི་གཉིས་སོ་སོ་ན། །དེས་ཀོ་ཁྱོད་ལ་ཅི་ཞིག་བྱ། །,ལུས་འདི་ཞེས་སྨོས་ཏེ། ཀྱེ་ཡིད་ཚོགས་པའི་ལུས་འདི་ལ་བདག་ཉིད་དུ་བྱས་ནས་བསྲུང་ངམ་ཞེས་པའོ། །ཁྱོད་དང་སྟེ་ཡིད་ཁྱོད་དང་འདི་གཉིས་ཐ་དད་ཉིད་དོ། །ཅི་ཞིག་བྱ་ཞེས་པ་ནི་ཅི་གལ་ཆེ་ཞེས་བྱ་བའོ། །
རྨོངས་པའི་ཡིད་ཁྱོད་ཅི་ཡི་ཕྱིར། །ཤིང་གཟུགས་གཙང་མ་གཟུང་མི་བྱེད། །མི་གཙང་ཚོགས་ཀྱི་འཁྲུལ་འཁོར་འདི། །རུལ་བ་བསྲུངས་ཏེ་ཅི་ཞིག་རུང་། །,གཞན་ཡང་ཐ་དད་ཀྱང་འཛིན་ན་ཤིང་གི་གཟུགས་ཀྱང་ཟུང་ཤིག་ཅེས་བསྟན་པའི་ཕྱིར། རྨོངས་པའི་ཞེས་སྨོས་ཏེ། ཅི་སྟེ་གཟུང་བར་མི་བྱེད་ཅེས་བྱ་བའོ། །དེ་མི་འཛིན་ན་མི་གཙང་བ་ནི་རྣག་ལ་སོགས་པའོ། །ཚོགས་ནི་དེས་བརྩམས་པའོ། །འཁྲུལ་འཁོར་ནི་ལུས་སོ། །རུལ་བ་ནི་འདྲུལ་བའི་ཆོས་ཅན་ནོ། །འདི་ལ་སྙིང་པོ་ཅུང་ཟད་ཙམ་ཞིག་ཡོད་པས་བསྲུང་བར་རིགས་སོ་སྙམ་པ་ལ།
ཐོག་མར་པགས་པའི་རིམ་པ་འདི། །རང་གི་བློ་ཡིས་ཐ་དད་ཕྱེ། །ཤ་ཡང་རུས་པའི་དྲ་བ་ལས། །ཤེས་རབ་མཚོན་གྱིས་གུད་དུ་ཕྱེ། །,ཐོག་མར་ཞེས་སྨོས་ཏེ། པགས་པ་ནི་པགས་པའམ་ཡང་ན་གཡོགས་མའོ། །ཐ་དད་པར་ནི་ལུས་སམ་ཡང་ན་སོ་སོར་རོ། །རུས་པ་ལས་བརྩམས་པའི་དྲ་བ་ལས་ཤ་ཡང་ཕྱེ་ཞིང་ཤིག་ལ་འདི་ཙམ་བལྟ་བར་བཤའོ་ཞེས་བསྟན་ཏེ་བསྙིལ་ཅིག་པའོ། །
རུས་པ་རྣམས་ཀྱང་དབྱེ་བྱས་ནས། །རྐང་གི་བར་དུ་བལྟ་བྱ་ཞིང་། །འདི་ལ་སྙིང་པོ་ཅི་ཡོད་ཅེས། །བདག་ཉིད་ཀྱིས་ནི་བརྟག་པར་གྱིས། །,རྐང་མར་ནི་རུས་པའི་དཀྱིལ་གྱི་བཅུད་དོ། །བར་དུ་ཞེས་པ་ནི་མཐར་ཐུག་པའོ། །
དེ་ལྟར་འབད་དེ་བཙལ་ཀྱང་དེར། །ཁྱོད་ཀྱིས་སྙིང་པོ་མ་མཐོང་ན། །ད་དུང་ཅི་ཕྱིར་ཆགས་ཚུལ་གྱིས། །ཁྱོད་ནི་ལུས་འདི་སྲུང་བར་བྱེད། །,ཁྱོད་ཀྱིས་ཏེ་ཁྱོད་རང་གིས་ཀྱང་ངོ་། །
ཁྱོད་ཀྱིས་མི་གཙང་བཟར་མི་རུང་། །ཁྲག་ཀྱང་བཏུང་དུ་མི་རུང་ལ། །རྒྱུ་ལྟོའང་གཞིབ་ཏུ་མི་རུང་ན། །ལུས་ཀྱིས་ཁྱོད་ལ་ཅི་ཞིག་བྱ། །,དེ་བཞིན་དུ་ཁྱོད་ཀྱིས་མི་གཙང་བཟར་མི་རུང་ངོ་ཞེས་བྱ་བ་ལ་སོགས་པ་ཡང་ངོ་། །དགོས་པ་གཞན་མེད་པའི་ཕྱིར་དགོས་པ་འདི་ཙམ་ཞིག་བལྟ་བར་བཤའོ་ཞེས་བསྟན་པའི་ཕྱིར།
ཉིས་ན་ཝ་དང་བྱ་རྒོད་ཀྱིས། །ཟས་ཀྱི་དོན་དུ་འདི་བསྲུང་རིགས། །མི་འོ་ཅོག་གི་ལུས་འདི་ནི། །བཀོལ་བར་བྱ་བ་ཉིད་དུ་ཟད། །,ཉིས་ན་ཞེས་སྨོས་ཏེ། རིགས་ནའོ། །ལུས་ནི་ལུས་པོ་ཉིད་དོ། །བཀོལ་བར་བྱ་བ་ནི་བསོད་ནམས་བྱེད་དུ་བཅུག་པའོ། །
འདི་ལྟར་ཁྱོད་ཀྱིས་བསྲུངས་ཀྱང་ནི། །འཆི་བདག་བརྩེ་བ་མེད་པ་ཡིས། །ཕྲོགས་ཏེ་བྱ་དང་ཁྱིར་བྱིན་ན། །དེ་ཚེ་ཁྱོད་ཀྱིས་ཅི་བྱར་ཡོད། །,འདི་ལྟར་ཞེས་པ་ནི་དེ་བཞིན་དུ་ནམ་ཡང་བསོད་ནམས་བྱེད་དུ་མ་བཅུག་པར་རྩེ་གཅིག་ཏུ་བསྲུངས་ཀྱང་། འཆི་བདག་གིས་གཞན་ལ་བྱིན་པ་དེའི་ཚེ་ཁྱོད་ཀྱིས་ཅི་ཡང་བྱར་མེད་པའོ། །
བྲན་གཡོག་བཀོལ་དུ་མི་བཏུབ་ལའང་། །གོས་ལ་སོགས་པ་མི་སྦྱིན་ན། །ལུས་འདི་བསྙོད་ཀྱང་གཞན་འགྲོ་ན། །ཁྱོད་ཀོ་ཅི་སྟེ་ཤ་ཐང་གསོ། །,དེ་ལྟར་ན་ཡང་ཟན་ལ་སོགས་པས་ཡོངས་སུ་སྐྱོང་བར་རིགས་སོ་སྙམ་པ་ལ། བྲན་གཡོག་ཅེས་བྱ་བ་ལ་སོགས་པ་སྨོས་ཏེ། དེ་ཅི་རྣམ་པ་ཐམས་ཅད་དུ་མི་སྦྱིན་ནམ་སྙམ་པ་ལ།
འདི་ལ་གླ་རྔན་བྱིན་ནས་ནི། །ད་ནི་རང་གི་དོན་བྱེད་ཆུག །ཕན་པ་མེད་པར་འདི་ལ་ནི། །ཐམས་ཅད་སྦྱིན་པར་མི་བྱའོ། །,འདི་ལ་གླ་རྔན་ཞེས་བྱ་བ་སྨོས་ཏེ། ལས་ཀྱི་རིན་ནོ། །ཡང་ན་གླ་རྔན་ཙམ་མོ་ཞེས་བྱ་བའི་ཚིག་གོ། །
འགྲོ་དང་འོང་བའི་རྟེན་ཙམ་དུ། །ལུས་ལ་གྲུ་ཡི་བློ་བཞག་སྟེ། །སེམས་ཅན་རྣམས་དོན་བསྒྲུབ་པའི་ཕྱིར། །ཡིད་བཞིན་གྱི་ནི་ལུས་སུ་བསྒྱུར། །,འགྲོ་དང་ཞེས་བྱ་བ་ལ་སོགས་པ་སྨོས་པ་ལ། འགྲོ་དང་འོང་བ་ནི་མངོན་པར་འདོད་པའི་བྱ་བ་དང་ལྡན་པའོ། །
དེ་ལྟར་རང་དབང་ཡོད་ཀྱིས་དེ། །རྟག་ཏུ་འཛུམ་པའི་བཞིན་དུ་གྱིས། །ཁྲོ་གཉེར་ངོ་ཟུམ་ཡོངས་ཐོང་སྟེ། །འགྲོ་བའི་བཤེས་དང་གསོང་པོར་གྱིས། །,དེ་ལྟར་ན་ཞེས་པ་ནི་བརྗོད་པའི་རིམ་པ་ལྟར་རོ། །རང་དབང་ནི་རང་གི་སེམས་ལའོ། །གང་ནས་ཀྱང་དུས་རྟག་ཏུ་འཛུམ་ཞིང་མདངས་ཡོད་པར་གྱིས་ཤིག་པའོ། །ཁྲོ་གཉེར་ནི་སྨིན་མ་འཁྱོག་པར་བསྡུས་པའོ། །དེ་ཉིད་ནི་ངོ་འཛུམ་མོ། །བཤེས་ནི་འགྲོགས་པའོ། །གསོང་པོར་སྨྲ་བ་ནི་གཞན་གྱིས་མ་སྨྲས་པའི་གོང་རོལ་དུ་བསྙུར་ནས་གླེང་མོ་བརྗོད་པའི་ཚུལ་དང་ལྡན་པའོ། །
ཁྲི་ལ་སོགས་པ་བབ་ཅོལ་དུ། །སྒྲ་དང་བཅས་པར་མི་དོར་རོ། །སྒོ་ཡང་དྲག་ཏུ་མི་དབྱེ་སྟེ། །རྟག་ཏུ་གཅོམ་བསྐྱུངས་དགའ་བར་བྱ། །,སྒྲ་དང་བཅས་ཞེས་པ་ནི་བྱ་བའི་ཁྱད་པར་དུ་བྱེད་པའོ། །མི་དོར་བ་ནི་མི་བསྐྱུར་བའོ། །དྲག་ཏུ་མི་དབྱེ་བ་ནི་བཙན་ཐབས་སུ་མི་འཕུལ་ལོ། །དེ་ལྟར་དུ་བྱས་པ་ལ་ཡོན་ཏན་ཅི་ཡོད་སྙམ་པ་ལ།
ཆུ་སྐྱར་བྱི་ལ་ཆོམ་རྐུན་དག །སྒྲ་མེད་འཇབ་ཅིང་འགྲོ་བ་ཡིས། །མངོན་པར་འདོད་པའི་དོན་སྒྲུབ་པ། །ཐུབ་པས་རྟག་ཏུ་དེ་བཞིན་སྤྱད། །,ཆུ་སྐྱར་ཞེས་སྨོས་ཏེ། འཇབ་ཅིང་ཞེས་པ་བརྟན་པའམ་ཡང་ན་མ་ཚོར་བར་འཇབ་པའོ། །དེ་བཞིན་བསྐུལ་འདེབས་པ་ནི་འགྱོད་པ་སྤོང་ཞིང་བསྐུལ་བའོ། །
གཞན་ལ་བཞེན་བསྐུལ་འདེབས་མཁས་ཤིང་། །མ་བཅོལ་ཕན་པ་བྱེད་པའི་ངག །གུས་པས་སྤྱི་བོས་བླང་གྱིས་ཏེ། །རྟག་ཏུ་ཀུན་གྱི་སློབ་མར་གྱུར། །,མཁས་པ་ནི་དེ་ལ་གདམས་པའི་ནུས་པ་དང་ལྡན་པའོ། །མ་བཅོལ་བར་ཕན་པར་བྱེད་པ་དེ་དག་གི་གདམས་ངག་དེ་རྣམས་འཇེབས་པར་ཚོར་ནས་རྟག་ཏུ་ཐམས་ཅད་ཀྱི་སློབ་མར་འགྱུར་བའོ། །
ལེགས་པར་སྨས་པ་ཐམས་ཅད་ལ། །དགེ་བར་གསུངས་ཞེས་བརྗོད་པར་བྱ། །བསོད་ནམས་བྱེད་པ་མཐོང་གྱུར་ན། །བསྟོད་པས་ལེགས་པར་དགའ་བ་བསྐྱེད། །,ཕྲག་དོག་གི་དྲི་མ་བཀྲུ་བའི་ཕྱིར་ལེགས་པར་སྨྲས་པ་ཞེས་སྨོས་ཏེ། ཀུན་ནས་ཉོན་མོངས་པའི་གཉེན་པོའི་ཕྱོགས་ཀྱི་དོན་སྨྲ་བ་ནི་ལེགས་པར་སྨྲ་བའོ། །
ལྐོག་ན་ཡོན་ཏན་བརྗོད་བྱ་ཞིང་། །ཡོན་ཏན་བརྗོད་ན་རྗེས་སུ་བརྗོད། །རང་གི་ཡོན་ཏན་བརྗོད་ན་དེ། །ཡོན་ཏན་ཤེས་པར་རིག་པར་བྱ། །,རྗེས་སུ་བརྗོད་པ་ནི་གཞན་གྱིས་ཡོན་ཏན་བརྗོད་པའི་རྗེས་སུ་བཟླས་པར་བྱ་བའོ། །གཞན་གྱིས་བདག་གི་ཡོན་ཏན་བསྔགས་པ་བརྗོད་ན། དེ་དག་གི་ཡོན་ཏན་ཤེས་ཤིང་ཡོན་ཏན་ལ་རྗེས་སུ་ཆགས་པ་ཅན་ཅིག་གོ་སྙམ་དུ་ཡིད་ཀྱིས་རིགས་པར་བྱའི་རང་ཁེངས་ཤིང་རང་ཐང་མི་བྱའོ། །
